,Observation station,Precipitation amount [mm],Snow depth [cm],Average temperature [°C],Date
396,Sodankylä Tähtelä,0.1,37,-16.1,2001-01-31
397,Sodankylä Tähtelä,0.1,37,-27.4,2001-02-01
398,Sodankylä Tähtelä,0.0,36,-22.4,2001-02-02
399,Sodankylä Tähtelä,0.1,36,-26.3,2001-02-03
400,Sodankylä Tähtelä,0.9,36,-22.0,2001-02-04
401,Sodankylä Tähtelä,1.5,36,-16.6,2001-02-05
402,Sodankylä Tähtelä,3.4,39,-17.4,2001-02-06
403,Sodankylä Tähtelä,3.8,41,-18.5,2001-02-07
404,Sodankylä Tähtelä,4.6,45,-9.6,2001-02-08
405,Sodankylä Tähtelä,-1.0,50,-21.6,2001-02-09
406,Sodankylä Tähtelä,-1.0,49,-17.4,2001-02-10
407,Sodankylä Tähtelä,0.1,49,-8.1,2001-02-11
408,Sodankylä Tähtelä,1.0,47,-6.6,2001-02-12
409,Sodankylä Tähtelä,3.9,49,-6.7,2001-02-13
410,Sodankylä Tähtelä,0.4,51,-1.0,2001-02-14
411,Sodankylä Tähtelä,-1.0,49,-3.0,2001-02-15
412,Sodankylä Tähtelä,0.0,49,-5.1,2001-02-16
413,Sodankylä Tähtelä,8.8,48,-1.7,2001-02-17
414,Sodankylä Tähtelä,1.0,57,-2.1,2001-02-18
415,Sodankylä Tähtelä,4.5,55,-2.7,2001-02-19
416,Sodankylä Tähtelä,4.4,59,-10.5,2001-02-20
417,Sodankylä Tähtelä,0.0,68,-18.6,2001-02-21
