"Observation station","Year","Month","Day","Time [Local time]","Precipitation amount [mm]","Snow depth [cm]","Average temperature [°C]"
"Kolari Kattilamaa","2000","10","25","03:00","2.5","2","-"
"Kolari Kattilamaa","2000","10","26","03:00","-1","4","-"
"Kolari Kattilamaa","2000","10","27","03:00","-1","2","-"
"Kolari Kattilamaa","2000","10","28","03:00","-1","2","-"
"Kolari Kattilamaa","2000","10","29","03:00","-1","2","-"
"Kolari Kattilamaa","2000","10","30","02:00","-1","2","-"
"Kolari Kattilamaa","2000","10","31","02:00","8.3","2","-"
"Kolari Kattilamaa","2000","11","1","02:00","3.7","7","-"
"Kolari Kattilamaa","2000","11","2","02:00","3.5","10","-"
"Kolari Kattilamaa","2000","11","3","02:00","-1","12","-"
"Kolari Kattilamaa","2000","11","4","02:00","9.3","10","-"
"Kolari Kattilamaa","2000","11","5","02:00","3.5","8","-"
"Kolari Kattilamaa","2000","11","6","02:00","6.2","6","-"
"Kolari Kattilamaa","2000","11","7","02:00","-1","6","-"
"Kolari Kattilamaa","2000","11","8","02:00","2.5","6","-"
"Kolari Kattilamaa","2000","11","9","02:00","2.3","4","-"
"Kolari Kattilamaa","2000","11","10","02:00","1.8","4","-"
"Kolari Kattilamaa","2000","11","11","02:00","2.8","4","-"
"Kolari Kattilamaa","2000","11","12","02:00","0.5","4","-"
"Kolari Kattilamaa","2000","11","13","02:00","0.5","-1","-"
"Kolari Kattilamaa","2000","11","14","02:00","7.2","-1","-"
"Kolari Kattilamaa","2000","11","15","02:00","1","-1","-"
"Kolari Kattilamaa","2000","11","16","02:00","0.5","-1","-"
"Kolari Kattilamaa","2000","11","17","02:00","1.5","-1","-"
"Kolari Kattilamaa","2000","11","18","02:00","0","1","-"
"Kolari Kattilamaa","2000","11","19","02:00","0","1","-"
"Kolari Kattilamaa","2000","11","20","02:00","0.4","2","-"
"Kolari Kattilamaa","2000","11","21","02:00","0","5","-"
"Kolari Kattilamaa","2000","11","22","02:00","0.4","5","-"
"Kolari Kattilamaa","2000","11","23","02:00","3.3","6","-"
"Kolari Kattilamaa","2000","11","24","02:00","0.3","10","-"
"Kolari Kattilamaa","2000","11","25","02:00","1.5","8","-"
"Kolari Kattilamaa","2000","11","26","02:00","0.6","2","-"
"Kolari Kattilamaa","2000","11","27","02:00","0.2","0","-"
"Kolari Kattilamaa","2000","11","28","02:00","2.4","-1","-"
"Kolari Kattilamaa","2000","11","29","02:00","0.5","0","-"
"Kolari Kattilamaa","2000","11","30","02:00","3","1","-"
"Kolari Kattilamaa","2000","12","1","02:00","1.3","6","-"
"Kolari Kattilamaa","2000","12","2","02:00","8.1","8","-"
"Kolari Kattilamaa","2000","12","3","02:00","0","14","-"
"Kolari Kattilamaa","2000","12","4","02:00","0.5","13","-"
"Kolari Kattilamaa","2000","12","5","02:00","2.2","13","-"
"Kolari Kattilamaa","2000","12","6","02:00","5.5","13","-"
"Kolari Kattilamaa","2000","12","7","02:00","1.6","5","-"
"Kolari Kattilamaa","2000","12","8","02:00","-1","7","-"
"Kolari Kattilamaa","2000","12","9","02:00","0.6","7","-"
"Kolari Kattilamaa","2000","12","10","02:00","0.5","7","-"
"Kolari Kattilamaa","2000","12","11","02:00","3.3","8","-"
"Kolari Kattilamaa","2000","12","12","02:00","-1","10","-"
"Kolari Kattilamaa","2000","12","13","02:00","-1","10","-"
"Kolari Kattilamaa","2000","12","14","02:00","3.3","10","-"
"Kolari Kattilamaa","2000","12","15","02:00","0.2","13","-"
"Kolari Kattilamaa","2000","12","16","02:00","1.7","13","-"
"Kolari Kattilamaa","2000","12","17","02:00","0","14","-"
"Kolari Kattilamaa","2000","12","18","02:00","-1","14","-"
"Kolari Kattilamaa","2000","12","19","02:00","0.1","14","-"
"Kolari Kattilamaa","2000","12","20","02:00","-1","14","-"
"Kolari Kattilamaa","2000","12","21","02:00","0","14","-"
"Kolari Kattilamaa","2000","12","22","02:00","-1","14","-"
"Kolari Kattilamaa","2000","12","23","02:00","2.1","14","-"
"Kolari Kattilamaa","2000","12","24","02:00","0.9","18","-"
"Kolari Kattilamaa","2000","12","25","02:00","-1","18","-"
"Kolari Kattilamaa","2000","12","26","02:00","0.7","18","-"
"Kolari Kattilamaa","2000","12","27","02:00","0.5","19","-"
"Kolari Kattilamaa","2000","12","28","02:00","1.7","19","-"
"Kolari Kattilamaa","2000","12","29","02:00","6.4","22","-"
"Kolari Kattilamaa","2000","12","30","02:00","1.8","30","-"
"Kolari Kattilamaa","2000","12","31","02:00","0.2","32","-"
"Kolari Kattilamaa","2001","1","1","02:00","0.4","32","-"
"Kolari Kattilamaa","2001","1","2","02:00","3.3","34","-"
"Kolari Kattilamaa","2001","1","3","02:00","1.7","30","-"
"Kolari Kattilamaa","2001","1","4","02:00","0.5","30","-"
"Kolari Kattilamaa","2001","1","5","02:00","0.3","30","-"
"Kolari Kattilamaa","2001","1","6","02:00","0.2","30","-"
"Kolari Kattilamaa","2001","1","7","02:00","0.6","27","-"
"Kolari Kattilamaa","2001","1","8","02:00","2","28","-"
"Kolari Kattilamaa","2001","1","9","02:00","0","28","-"
"Kolari Kattilamaa","2001","1","10","02:00","3","28","-"
"Kolari Kattilamaa","2001","1","11","02:00","0.5","30","-"
"Kolari Kattilamaa","2001","1","12","02:00","-1","31","-"
"Kolari Kattilamaa","2001","1","13","02:00","-1","31","-"
"Kolari Kattilamaa","2001","1","14","02:00","0","31","-"
"Kolari Kattilamaa","2001","1","15","02:00","-1","30","-"
"Kolari Kattilamaa","2001","1","16","02:00","-1","28","-"
"Kolari Kattilamaa","2001","1","17","02:00","-1","28","-"
"Kolari Kattilamaa","2001","1","18","02:00","-1","28","-"
"Kolari Kattilamaa","2001","1","19","02:00","0","28","-"
"Kolari Kattilamaa","2001","1","20","02:00","-1","28","-"
"Kolari Kattilamaa","2001","1","21","02:00","-1","28","-"
"Kolari Kattilamaa","2001","1","22","02:00","0","28","-"
"Kolari Kattilamaa","2001","1","23","02:00","0.2","28","-"
"Kolari Kattilamaa","2001","1","24","02:00","1","28","-"
"Kolari Kattilamaa","2001","1","25","02:00","3.9","29","-"
"Kolari Kattilamaa","2001","1","26","02:00","0.5","33","-"
"Kolari Kattilamaa","2001","1","27","02:00","1.7","33","-"
"Kolari Kattilamaa","2001","1","28","02:00","2.1","35","-"
"Kolari Kattilamaa","2001","1","29","02:00","0.2","35","-"
"Kolari Kattilamaa","2001","1","30","02:00","0.5","35","-"
"Kolari Kattilamaa","2001","1","31","02:00","0","35","-"
"Kolari Kattilamaa","2001","2","1","02:00","-1","35","-"
"Kolari Kattilamaa","2001","2","2","02:00","0.5","35","-"
"Kolari Kattilamaa","2001","2","3","02:00","0.3","35","-"
"Kolari Kattilamaa","2001","2","4","02:00","1.8","35","-"
"Kolari Kattilamaa","2001","2","5","02:00","1.8","37","-"
"Kolari Kattilamaa","2001","2","6","02:00","2.5","37","-"
"Kolari Kattilamaa","2001","2","7","02:00","6.6","40","-"
"Kolari Kattilamaa","2001","2","8","02:00","4","50","-"
"Kolari Kattilamaa","2001","2","9","02:00","-1","50","-"
"Kolari Kattilamaa","2001","2","10","02:00","0.2","50","-"
"Kolari Kattilamaa","2001","2","11","02:00","0.8","50","-"
"Kolari Kattilamaa","2001","2","12","02:00","0.5","50","-"
"Kolari Kattilamaa","2001","2","13","02:00","2.8","50","-"
"Kolari Kattilamaa","2001","2","14","02:00","-1","51","-"
"Kolari Kattilamaa","2001","2","15","02:00","-1","48","-"
"Kolari Kattilamaa","2001","2","16","02:00","-1","48","-"
"Kolari Kattilamaa","2001","2","17","02:00","0","48","-"
"Kolari Kattilamaa","2001","2","18","02:00","0","45","-"
"Kolari Kattilamaa","2001","2","19","02:00","1.2","45","-"
"Kolari Kattilamaa","2001","2","20","02:00","3","46","-"
"Kolari Kattilamaa","2001","2","21","02:00","0.5","47","-"
